,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration
110,2010-04-21 00:00:00+00:00,36.95,28.75,31.7125,41.810482,33.325085,36.57115,0,0,44971.598
111,2010-04-22 00:00:00+00:00,36.2,27.85,31.274996,41.484333,33.544292,36.280834,0,0,45011.812
112,2010-04-23 00:00:00+00:00,35.8,28.05,30.960417,39.98713,33.59137,35.665264,0,0,45051.836
113,2010-04-24 00:00:00+00:00,36.1,27.95,31.118746,40.52721,33.186264,35.86706,0,0,45091.617
114,2010-04-25 00:00:00+00:00,36.15,27.85,31.097916,40.826782,33.15716,35.71981,0,0,45131.14
115,2010-04-26 00:00:00+00:00,35.35,28.1,30.90833,40.266922,33.67902,35.81454,0,0,45170.363
116,2010-04-27 00:00:00+00:00,35.55,27.9,30.94166,40.67314,33.739937,35.8911,0,0,45209.258
117,2010-04-28 00:00:00+00:00,35.65,27.85,30.96875,40.11353,33.41091,35.48174,0,0,45247.79
118,2010-04-29 00:00:00+00:00,35.1,27.7,30.84375,39.504982,33.075214,35.47031,0,0,45285.92
119,2010-04-30 00:00:00+00:00,33.8,26.0,29.481253,38.735104,31.115696,34.415203,0,0,45323.62
120,2010-05-01 00:00:00+00:00,31.8,25.85,29.091667,36.7052,30.772953,34.331554,0,0,45360.848
121,2010-05-02 00:00:00+00:00,34.95,27.5,30.685415,41.559788,33.728085,36.028862,0,0,45397.58
122,2010-05-03 00:00:00+00:00,34.65,27.65,30.71875,40.845634,33.44056,35.665432,0,0,45433.76
123,2010-05-04 00:00:00+00:00,35.4,28.0,30.952085,40.380062,33.628643,36.348988,0,0,45469.37
124,2010-05-05 00:00:00+00:00,36.55,27.75,31.31875,41.73598,33.49341,36.533413,0,0,45504.363
125,2010-05-06 00:00:00+00:00,37.1,28.35,31.660416,43.055458,34.665157,37.376442,0,0,45538.754
126,2010-05-07 00:00:00+00:00,36.3,28.25,31.5,42.018826,34.364033,36.884045,0,0,45572.812
127,2010-05-08 00:00:00+00:00,36.0,28.25,31.243746,41.668346,33.891865,36.472492,0,0,45606.555
128,2010-05-09 00:00:00+00:00,36.25,28.05,31.318754,40.62394,32.99133,35.662476,0,0,45639.96
129,2010-05-10 00:00:00+00:00,37.65,28.2,31.91667,43.641914,33.241825,36.764225,0,0,45672.99
130,2010-05-11 00:00:00+00:00,38.15,28.7,32.149998,42.49675,32.958706,36.400776,0,0,45705.61
131,2010-05-12 00:00:00+00:00,37.6,28.7,32.054165,43.05045,33.663784,36.49797,0,0,45737.805
132,2010-05-13 00:00:00+00:00,37.55,28.75,32.189583,42.200096,34.15969,36.870155,0,0,45769.527
133,2010-05-14 00:00:00+00:00,37.4,28.85,31.918749,42.496067,33.8483,36.61092,0,0,45800.75
134,2010-05-15 00:00:00+00:00,37.45,28.6,31.92292,43.240086,34.11038,37.12534,0,0,45831.445
135,2010-05-16 00:00:00+00:00,37.75,28.75,32.029167,42.45352,34.353764,36.970497,0,0,45861.58
136,2010-05-17 00:00:00+00:00,37.6,28.35,32.029163,44.344257,34.92955,37.932922,0,0,45891.113
137,2010-05-18 00:00:00+00:00,34.35,27.0,29.772913,40.109795,29.969494,34.824036,0,0,45920.02
138,2010-05-19 00:00:00+00:00,27.55,26.65,27.158335,30.105785,27.98101,29.170279,0,0,45948.258
139,2010-05-20 00:00:00+00:00,31.45,27.6,29.525002,33.59399,29.56123,31.561905,0,0,45975.8
140,2010-05-21 00:00:00+00:00,34.15,28.05,30.064583,37.67125,30.936348,33.868637,0,0,46002.613
141,2010-05-22 00:00:00+00:00,34.55,28.05,30.75208,40.996952,31.534164,35.414577,0,0,46028.652
142,2010-05-23 00:00:00+00:00,35.4,28.55,31.270836,42.14211,32.029114,35.757633,0,0,46053.89
143,2010-05-24 00:00:00+00:00,36.1,28.7,31.914581,42.625893,32.04489,36.53111,0,0,46078.29
144,2010-05-25 00:00:00+00:00,37.35,29.55,32.437504,43.75377,33.079815,36.83521,0,0,46101.816
145,2010-05-26 00:00:00+00:00,37.9,30.0,32.9375,43.78505,32.84155,36.68087,0,0,46124.47
146,2010-05-27 00:00:00+00:00,37.45,28.7,32.050003,44.092804,32.460518,36.17306,0,0,46146.438
147,2010-05-28 00:00:00+00:00,37.6,28.9,32.302086,44.246483,32.55834,36.434765,0,0,46167.746
148,2010-05-29 00:00:00+00:00,38.2,30.1,32.84792,43.85337,32.177322,36.622467,0,0,46188.37
149,2010-05-30 00:00:00+00:00,37.8,29.65,32.99583,43.497845,32.546623,36.74158,0,0,46208.29
150,2010-05-31 00:00:00+00:00,38.15,29.5,32.91875,44.570995,32.48243,36.829956,0,0,46227.49
151,2010-06-01 00:00:00+00:00,37.2,29.35,32.333332,43.82099,32.616005,36.605717,0,0,46245.938
152,2010-06-02 00:00:00+00:00,37.45,29.1,32.61667,44.660065,33.344296,37.17292,0,0,46263.625
153,2010-06-03 00:00:00+00:00,38.05,29.85,33.385418,45.319996,33.59713,38.00079,0,0,46280.53
154,2010-06-04 00:00:00+00:00,38.1,27.55,32.687496,44.230972,31.950966,37.34344,0,0,46296.63
155,2010-06-05 00:00:00+00:00,35.55,27.95,31.895838,41.46382,32.28756,36.105053,0,0,46311.91
156,2010-06-06 00:00:00+00:00,36.0,29.05,32.247913,38.676346,30.34459,34.115627,0,0,46326.34
157,2010-06-07 00:00:00+00:00,36.4,28.35,32.302082,39.13246,30.022255,34.34296,0,0,46339.91
